Stock,Sector,Cap,BuyPrice,ExpectedReturns,BuySell,SellPrice,TimeFrame,Company
JK Cement,Infrastructure,Large,1175,12.96,Buy,1350,1,JK Cement Ltd.
Infosys,IT,Large,900,16.67,Buy,1080,1,Infosys Ltd.
Bharti Airtel,Telecom,Large,415,3.71,Buy,431,1,Bharti Airtel Ltd.
TCS,IT,Large,2475,8.33,Buy,2700,1,Tata Consultancy Services Ltd.
ONGC,Petroleum,Large,160,-1.91,Sell,157,1,Oil And Natural Gas Corporation Ltd.
Maruti,Automobiles,Large,7555,4.61,Buy,7920,1,Maruti Suzuki India Ltd.
SBIN,Banks,Large,275,11.29,Buy,310,1,State Bank of India
CIPLA,Pharma,Large,570,5.79,Buy,605,1,Cipla Ltd.
Tata Steel,Infrastructure,Large,620,3.13,Buy,640,1,Tata Steel Ltd.
GAIL,Petroleum,Large,372,2.87,Buy,383,1,GAIL (India) Ltd.
LUPIN,Pharma,Large,935,1.58,Sell,950,1,Lupin Ltd.
LT,Infrastructure,Large,1125,0.88,Buy,1135,1,Larsen & Tourbo Ltd.
BAJAJ-AUTO,Automobiles,Large,2791,10.54,Buy,3120,1,Bajaj Auto Ltd.
IOC,Petroleum,Large,423,6,Buy,450,1,Indian Oil Corporation Ltd.
